"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";
"43";"0,9769347735132481";"0,9543035148428239";"0,0005329657954095276";"-0,016587579263540646";"-0,019210876513829533";"-0,0010799999999999998";"0,000054779331078941645";"0,000002477335261882096";"0,0000015820277350885037";"3,056725794543317";"-0,00782020727081445";"-0,019607371311480826";
"44";"0,977174068612939";"0,9545806540526802";"0,0005293467331750488";"0,06711649382211227";"-0,057701263376919165";"-0,014426161641127037";"0,00023929509969084433";"0,0002771392098562359";"0,000003619062234478808";"1,4838118239802047";"0,06711649382211227";"-0,057701263376919165";
"45";"0,9771015827996111";"0,9546429714171273";"0,0005250520709846938";"-0,008915125334078507";"-0,02021048343860782";"-0,0010799999999999998";"0,00007248581332788123";"0,00006231736444707269";"0,0000042946621903549144";"2,760008661989359";"-0,012758414233121185";"-0,016906338475597416";
"46";"0,9795171470904646";"0,9601190270266396";"0,0004637944492165376";"-0,30158997940110965";"0,1330371164793842";"-0,2709512430094317";"0,0024155642908534466";"0,005476055609512322";"0,00006125762176815622";"1,9507509468909126";"-0,30158997940110965";"0,1330371164793842";
"47";"0,9798428642682178";"0,959975346940842";"0,00040767181657953584";"0,003828122029982296";"-0,022635453101188887";"-0,0010799999999999998";"0,0003257171777531984";"0,00014368008579773492";"0,00005612263263700179";"2,1784175396506935";"0,005421546830341573";"-0,023338343300616238";
"48";"0,9798320378606017";"0,9600393628316438";"0,00040684566741394906";"-0,0280058800115095";"-0,006291917283163251";"-0,002828125";"0,00001082640761604368";"0,00006401589080179981";"0,0000008261491655867786";"2,587391976693573";"-0,0280058800115095";"-0,006291917283163251";
"49";"0,9798858091502238";"0,9600514433128274";"0,0004061370710404021";"-0,015046495736438705";"-0,030279409884159614";"-0,00192";"0,00005377128962209824";"0,000012080481183673442";"0,0000007085963735469348";"2,807152551183881";"0,008670139093720497";"-0,024951132232287065";
"50";"0,9992778571116552";"0,999075796823623";"0,000027515865049622378";"-0,2091186508169942";"0,10391222199228611";"-1,2888082581560094";"0,01939204796143139";"0,039024353510795605";"0,00037862120599077976";"1,8951266029437075";"-0,2091186508169942";"0,10391222199228611";
"51";"0,9995037052545376";"0,9989635716238714";"0,000000440658904537664";"0,015273642427563905";"-0,008141697432552606";"-0,0010799999999999998";"0,00022584814288235372";"0,00011222519975166899";"0,000027075206145084714";"1,2748687994650614";"0,016632736280366656";"-0,008817038735631222";
"52";"0,9994872097207158";"0,9989723646570986";"0,00000026349106156639465";"-0,00009896068262782443";"-0,000463547640716655";"-0,0010799999999999998";"0,000016495533821769016";"0,000008793033227156814";"0,00000017716784297126933";"2,56626495869736";"-0,00009896068262782443";"-0,000463547640716655";
